wavelength_nm,transmittance
400,0.95
405,0.95
410,0.95
415,0.95
420,0.95
425,0.95
430,0.95
435,0.95
440,0.95
445,0.95
450,0.95
455,0.95
460,0.95
465,0.95
470,0.95
475,0.95
480,0.95
485,0.95
490,0.95
495,0.95
500,0.95
505,0.95
510,0.95
515,0.95
520,0.95
525,0.95
530,0.95
535,0.95
540,0.95
545,0.95
550,0.95
555,0.95
560,0.95
565,0.95
570,0.95
575,0.95
580,0.95
585,0.95
590,0.95
595,0.95
600,0.95
605,0.95
610,0.95
615,0.95
620,0.95
625,0.95
630,0.95
635,0.95
640,0.95
645,0.95
650,0.95
655,0.95
660,0.95
665,0.95
670,0.95
675,0.95
680,0.95
685,0.95
690,0.95
695,0.95
700,0.95
705,0.95
710,0.95
715,0.95
720,0.95
725,0.95
730,0.95
735,0.95
740,0.95
745,0.95
750,0.95
755,0.95
760,0.95
765,0.95
770,0.95
775,0.95
780,0.95
785,0.95
790,0.95
795,0.95
800,0.95
