Wavelength(nm)	n	k
250	1.83304	8.32e-10
260	1.82614	8.49e-10
270	1.82008	8.67e-10
280	1.81474	8.85e-10
290	1.81001	9.03e-10
300	1.80578	9.21e-10
310	1.80199	9.41e-10
320	1.79859	9.60e-10
330	1.79550	9.80e-10
340	1.79271	1.00e-09
350	1.79017	1.02e-09
360	1.78784	1.04e-09
370	1.78572	1.06e-09
380	1.78376	1.09e-09
390	1.78196	1.11e-09
400	1.78030	1.13e-09
410	1.77876	1.15e-09
420	1.77733	1.18e-09
430	1.77600	1.20e-09
440	1.77476	1.23e-09
450	1.77361	1.25e-09
460	1.77252	1.28e-09
470	1.77151	1.30e-09
480	1.77056	1.33e-09
490	1.76966	1.36e-09
500	1.76882	1.39e-09
510	1.76802	1.42e-09
520	1.76727	1.45e-09
530	1.76656	1.48e-09
540	1.76588	1.51e-09
550	1.76524	1.54e-09
560	1.76463	1.57e-09
570	1.76405	1.60e-09
580	1.76350	1.63e-09
590	1.76297	1.67e-09
600	1.76246	1.70e-09
610	1.76198	1.74e-09
620	1.76152	1.77e-09
630	1.76108	1.81e-09
640	1.76065	1.85e-09
650	1.76024	1.89e-09
660	1.75985	1.92e-09
670	1.75947	1.96e-09
680	1.75910	2.01e-09
690	1.75875	2.05e-09
700	1.75841	2.09e-09
710	1.75808	2.13e-09
720	1.75776	2.18e-09
730	1.75745	2.22e-09
740	1.75715	2.27e-09
750	1.75686	2.31e-09
760	1.75658	2.36e-09
770	1.75630	2.41e-09
780	1.75603	2.46e-09
790	1.75577	2.51e-09
800	1.75552	2.56e-09
810	1.75527	2.62e-09
820	1.75503	2.67e-09
830	1.75479	2.73e-09
840	1.75456	2.78e-09
850	1.75433	2.84e-09
860	1.75411	2.90e-09
870	1.75389	2.96e-09
880	1.75368	3.02e-09
890	1.75347	3.08e-09
900	1.75326	3.15e-09
910	1.75306	3.21e-09
920	1.75286	3.28e-09
930	1.75266	3.34e-09
940	1.75247	3.41e-09
950	1.75227	3.48e-09
960	1.75209	3.56e-09
970	1.75190	3.63e-09
980	1.75172	3.70e-09
990	1.75153	3.78e-09
1000	1.75135	3.86e-09
1010	1.75118	3.94e-09
1020	1.75100	4.02e-09
1030	1.75083	4.10e-09
1040	1.75065	4.19e-09
1050	1.75048	4.28e-09
1060	1.75031	4.36e-09
1070	1.75015	4.45e-09
1080	1.74998	4.55e-09
1090	1.74981	4.64e-09
1100	1.74965	4.74e-09
1110	1.74948	4.83e-09
1120	1.74932	4.93e-09
1130	1.74916	5.04e-09
1140	1.74900	5.14e-09
1150	1.74884	5.25e-09
1160	1.74868	5.35e-09
1170	1.74852	5.47e-09
1180	1.74836	5.58e-09
1190	1.74820	5.69e-09
1200	1.74805	5.81e-09
1210	1.74789	5.93e-09
1220	1.74773	6.05e-09
1230	1.74758	6.18e-09
1240	1.74742	6.31e-09
1250	1.74727	6.44e-09
1260	1.74711	6.57e-09
1270	1.74696	6.71e-09
1280	1.74680	6.84e-09
1290	1.74665	6.99e-09
1300	1.74649	7.13e-09
1310	1.74634	7.28e-09
1320	1.74618	7.43e-09
1330	1.74603	7.58e-09
1340	1.74587	7.74e-09
1350	1.74572	7.90e-09
1360	1.74557	8.06e-09
1370	1.74541	8.23e-09
1380	1.74526	8.40e-09
1390	1.74510	8.57e-09
1400	1.74494	8.75e-09
1410	1.74479	8.93e-09
1420	1.74463	9.12e-09
1430	1.74448	9.30e-09
1440	1.74432	9.50e-09
1450	1.74416	9.69e-09
1460	1.74401	9.89e-09
1470	1.74385	1.01e-08
1480	1.74369	1.03e-08
1490	1.74353	1.05e-08
1500	1.74338	1.07e-08
1510	1.74322	1.10e-08
1520	1.74306	1.12e-08
1530	1.74290	1.14e-08
1540	1.74274	1.17e-08
1550	1.74258	1.19e-08
1560	1.74242	1.21e-08
1570	1.74226	1.24e-08
1580	1.74209	1.26e-08
1590	1.74193	1.29e-08
1600	1.74177	1.32e-08
