wavelength_nm,n,k
400,1.53,5e-06
410,1.5285,5e-06
420,1.527,5e-06
430,1.5255,5e-06
440,1.524,5e-06
450,1.5225,5e-06
460,1.521,5e-06
470,1.5195,5e-06
480,1.518,5e-06
490,1.5165,5e-06
500,1.515,5e-06
510,1.5135,5e-06
520,1.512,5e-06
530,1.5105,5e-06
540,1.509,5e-06
550,1.5075,5e-06
560,1.506,5e-06
570,1.5045,5e-06
580,1.503,5e-06
590,1.5015,5e-06
600,1.5,5e-06
610,1.4985,5e-06
620,1.497,5e-06
630,1.4955,5e-06
640,1.494,5e-06
650,1.4925,5e-06
660,1.491,5e-06
670,1.4895,5e-06
680,1.488,5e-06
690,1.4865,5e-06
700,1.485,5e-06
710,1.4835,5e-06
720,1.482,5e-06
730,1.4805,5e-06
740,1.479,5e-06
750,1.4775,5e-06
760,1.476,5e-06
770,1.4745,5e-06
780,1.473,5e-06
790,1.4715,5e-06
800,1.47,5e-06
810,1.4685,5e-06
820,1.467,5e-06
830,1.4655,5e-06
840,1.464,5e-06
850,1.4625,5e-06
860,1.461,5e-06
870,1.4595,5e-06
880,1.458,5e-06
890,1.4565,5e-06
900,1.455,5e-06
910,1.4535,5e-06
920,1.452,5e-06
930,1.4505,5e-06
940,1.449,5e-06
950,1.4475,5e-06
960,1.446,5e-06
970,1.4445,5e-06
980,1.443,5e-06
990,1.4415,5e-06
1000,1.44,5e-06
1010,1.4385,5e-06
1020,1.437,5e-06
1030,1.4355,5e-06
1040,1.434,5e-06
1050,1.4325,5e-06
1060,1.431,5e-06
1070,1.4295,5e-06
1080,1.428,5e-06
1090,1.4265,5e-06
1100,1.425,5e-06
