nm, %R
880.000000, 41.664108
878.000000, 41.526910
876.000000, 41.622952
874.000000, 41.232834
872.000000, 40.915028
870.000000, 40.583292
868.000000, 40.356066
866.000000, 39.757968
864.000000, 39.458234
862.000000, 38.924067
860.000000, 38.726607
858.000000, 37.971202
856.000000, 37.477376
854.000000, 36.921768
852.000000, 36.162975
850.000000, 35.583778
848.000000, 34.246952
846.000000, 33.957830
844.000000, 32.634260
842.000000, 31.866653
840.000000, 31.179578
838.000000, 30.151978
836.000000, 29.006713
834.000000, 28.108282
832.000000, 27.016138
830.000000, 25.704410
828.000000, 24.767268
826.000000, 23.680109
824.000000, 22.238192
822.000000, 21.085556
820.000000, 19.949349
818.000000, 18.870328
816.000000, 17.580252
814.000000, 16.856244
812.000000, 15.869710
810.000000, 14.545008
808.000000, 13.494406
806.000000, 12.802637
804.000000, 11.545956
802.000000, 10.706744
800.000000, 9.854277
798.000000, 9.376875
796.000000, 8.104273
794.000000, 7.412846
792.000000, 6.617119
790.000000, 5.890865
788.000000, 5.301902
786.000000, 4.918474
784.000000, 4.636724
782.000000, 3.981252
780.000000, 3.819354
778.000000, 3.624202
776.000000, 3.482847
774.000000, 3.210391
772.000000, 3.396363
770.000000, 3.307529
768.000000, 3.523386
766.000000, 3.606951
764.000000, 3.733769
762.000000, 3.995559
760.000000, 4.168726
758.000000, 4.495840
756.000000, 5.006509
754.000000, 5.606641
752.000000, 5.996786
750.000000, 6.495307
748.000000, 7.122144
746.000000, 7.695012
744.000000, 8.549063
742.000000, 9.296362
740.000000, 10.039139
738.000000, 10.900860
736.000000, 11.647595
734.000000, 12.501650
732.000000, 13.466240
730.000000, 14.273850
728.000000, 15.286881
726.000000, 16.262135
724.000000, 17.277585
722.000000, 18.293689
720.000000, 19.247054
718.000000, 20.241561
716.000000, 21.553378
714.000000, 22.536154
712.000000, 23.544218
710.000000, 24.750384
708.000000, 25.836862
706.000000, 26.950919
704.000000, 27.992773
702.000000, 29.103202
700.000000, 30.297939
698.000000, 31.345505
696.000000, 32.437196
694.000000, 33.497141
692.000000, 34.508614
690.000000, 35.722223
688.000000, 36.587906
686.000000, 37.619487
684.000000, 38.588192
682.000000, 39.507229
680.000000, 40.409106
678.000000, 41.235679
676.000000, 41.939685
674.000000, 42.676513
672.000000, 43.317393
670.000000, 43.816833
668.000000, 44.299795
666.000000, 44.559481
664.000000, 44.898395
662.000000, 44.961098
660.000000, 45.085526
658.000000, 44.959637
656.000000, 44.635721
654.000000, 44.201203
652.000000, 43.623795
650.000000, 42.913861
648.000000, 42.017220
646.000000, 40.880481
644.000000, 39.699738
642.000000, 38.333418
640.000000, 36.849784
638.000000, 35.122026
636.000000, 33.355949
634.000000, 31.580076
632.000000, 29.590642
630.000000, 27.572733
628.000000, 25.533170
626.000000, 23.480553
624.000000, 21.397134
622.000000, 19.355353
620.000000, 17.440721
618.000000, 15.586147
616.000000, 13.801018
614.000000, 12.219202
612.000000, 10.781804
610.000000, 9.520251
608.000000, 8.395864
606.000000, 7.510001
604.000000, 6.768229
602.000000, 6.132507
600.000000, 5.732693
598.000000, 5.529842
596.000000, 5.467923
594.000000, 5.516078
592.000000, 5.689759
590.000000, 6.134156
588.000000, 6.551720
586.000000, 7.180521
584.000000, 7.981328
582.000000, 8.888595
580.000000, 9.886473
578.000000, 11.003026
576.000000, 12.124282
574.000000, 13.403223
572.000000, 14.867234
570.000000, 16.316934
568.000000, 17.800926
566.000000, 19.359313
564.000000, 20.889776
562.000000, 22.563311
560.000000, 24.274812
558.000000, 26.002225
556.000000, 27.779585
554.000000, 29.695275
552.000000, 31.550350
550.000000, 33.372762
548.000000, 35.237400
546.000000, 37.051857
544.000000, 38.808809
542.000000, 40.488082
540.000000, 42.085352
538.000000, 43.605983
536.000000, 44.967982
534.000000, 46.061597
532.000000, 46.969227
530.000000, 47.639111
528.000000, 47.895214
526.000000, 47.808890
524.000000, 47.284697
522.000000, 46.305819
520.000000, 44.962969
518.000000, 43.135189
516.000000, 40.858549
514.000000, 38.239726
512.000000, 35.365550
510.000000, 32.239265
508.000000, 28.951931
506.000000, 25.673903
504.000000, 22.493717
502.000000, 19.453972
