stamp	tag	cuts	n_cuts	verdict	seel_nm	rmse_p95	n_blocks	crash_pct	n_strats	run_s	config
2026-08-15 10:09:29	cut32	32	1	FALLBACK	0.87	0.18759477328462743	3	100.0	487	856.1	{"allow_rate": true, "cuts": [32], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 10:18:36	nocut	-	0	OK	0.17	0.00745129706471919	6	0.0	330	262.9	{"allow_rate": true, "cuts": [], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 10:20:44	nocut	-	0	OK	0.53	0.06893016104520526	5	0.0	254	123.0	{"allow_rate": true, "cuts": [], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 10:35:18	nocut	-	0	FALLBACK	0.87	0.18776107589831695	3	100.0	487	869.8	{"allow_rate": true, "cuts": [], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 10:59:31	cut20	20	1	FALLBACK	0.85	0.17956739121273563	5	100.0	487	826.7	{"allow_rate": true, "cuts": [20], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 11:07:08	nocut	-	0	OK	0.18	0.008479215641394967	3	0.0	166	131.7	{"allow_rate": true, "cuts": [], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 11:09:17	nocut	-	0	FALLBACK	0.54	0.0716064937199443	4	98.0	126	124.0	{"allow_rate": true, "cuts": [], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 11:11:09	nocut	-	0	OK	0.41	0.04218460212270158	5	0.0	163	106.7	{"allow_rate": true, "cuts": [], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 11:13:39	cut40	40	1	FALLBACK	0.87	0.18839477180620168	8	100.0	487	843.1	{"allow_rate": true, "cuts": [40], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 11:27:19	cut48	48	1	FALLBACK	0.87	0.18730201304571606	6	100.0	487	813.4	{"allow_rate": true, "cuts": [48], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 11:44:03	cut60	60	1	FALLBACK	0.87	0.18777933873783023	4	100.0	487	996.3	{"allow_rate": true, "cuts": [60], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 11:56:32	cut34-66	34,66	2	FALLBACK	0.87	0.18854121925459644	7	100.0	487	742.9	{"allow_rate": true, "cuts": [34, 66], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
2026-08-15 12:08:30	cut24-48-72	24,48,72	3	FALLBACK	0.87	0.18741822681879566	6	100.0	487	712.1	{"allow_rate": true, "cuts": [24, 48, 72], "dp_top_k": 20, "mode": "fast", "n_screen_runs": 10, "robustness_num_runs": 50, "search_resolution": false, "seed": 42, "slit_nm": 2.0}
